id,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,country,city,category
19839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19840,0,0,0,0,0,0,0,25,25,31,38,38,44,50,50,50,56,56,50,50,50,44,38,0,0,2,0
19841,0,0,0,0,0,0,0,0,12,19,25,31,38,44,44,44,38,31,25,19,12,12,12,0,0,2,0
19842,0,0,0,0,0,0,0,5,15,27,35,42,51,63,72,68,51,34,25,23,23,20,14,7,0,2,0
19843,0,0,0,0,0,0,0,2,11,21,30,35,38,49,69,75,56,35,29,29,28,22,13,5,0,2,0
19844,0,0,0,0,0,0,0,5,16,29,37,38,39,44,43,30,12,2,0,0,0,0,0,0,0,2,0
19845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19846,0,0,0,0,0,0,0,0,1,5,14,29,48,65,75,70,54,38,30,20,6,0,0,0,0,2,0
19847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19848,0,0,0,0,0,0,0,2,20,43,59,59,50,41,41,45,47,46,47,51,54,53,46,35,0,2,0
19849,0,0,0,0,0,0,0,5,19,35,51,65,70,68,57,44,35,36,47,64,75,71,55,31,0,2,0
19850,0,0,0,0,0,0,0,8,17,29,43,50,50,44,38,40,46,50,44,32,17,0,0,0,0,2,0
19851,0,0,0,0,0,0,0,0,11,28,50,67,67,55,50,59,75,74,53,26,0,0,0,0,0,2,0
19852,0,0,0,0,0,0,0,8,27,41,46,41,36,35,39,44,45,43,35,26,14,3,1,0,0,2,0
19853,0,0,0,0,0,0,0,3,15,25,29,26,22,31,46,38,17,10,17,22,20,13,2,0,0,2,0
19854,0,0,0,0,0,0,0,5,16,29,37,38,39,44,43,30,12,2,0,0,0,0,0,0,0,2,0
19855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19856,0,0,0,0,0,0,0,38,59,69,75,69,59,43,32,21,16,0,0,0,0,0,0,0,0,2,0
19857,0,0,0,0,0,0,0,38,53,69,69,64,53,48,38,16,5,0,0,0,0,0,0,0,0,2,0
19858,0,0,0,0,0,0,0,9,29,50,64,62,49,32,19,13,11,11,11,7,2,1,1,0,0,2,0
19859,0,0,0,0,0,0,0,1,11,33,47,47,34,20,15,15,17,17,14,10,4,1,1,0,0,2,0
19860,0,0,0,0,0,0,0,11,32,56,73,75,65,56,56,62,66,63,53,43,37,34,26,13,0,2,0
19861,0,0,0,0,0,0,0,10,30,51,64,67,65,65,66,62,53,45,47,54,56,45,26,8,0,2,0
19862,0,0,0,0,0,0,0,2,26,51,63,55,39,30,32,39,45,46,41,33,23,13,4,0,0,2,0
19863,0,0,0,0,0,0,0,0,15,31,43,49,48,44,41,37,37,47,65,75,65,38,10,0,0,2,0
19864,0,0,0,0,0,0,0,15,29,45,56,57,47,35,26,21,19,17,15,11,8,4,1,0,0,2,0
19865,0,0,0,0,0,0,0,19,40,61,75,75,62,44,27,17,14,12,12,10,5,1,1,0,0,2,0
19866,0,0,0,0,0,0,0,0,4,8,11,14,15,14,12,8,5,3,2,2,2,1,0,0,0,2,0
19867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19868,0,0,0,0,0,0,0,0,0,12,23,33,42,50,57,63,60,47,29,0,0,0,0,0,0,2,0
19869,0,0,0,0,0,0,0,0,0,22,40,54,57,56,63,75,62,31,0,0,0,0,0,0,0,2,0
19870,0,0,0,0,0,0,0,11,20,33,45,56,62,62,57,50,44,41,40,38,33,26,16,7,0,2,0
19871,0,0,0,0,0,0,0,5,17,33,50,62,65,62,55,47,43,43,47,50,45,32,16,4,0,2,0
19872,0,0,0,0,0,0,0,2,14,25,37,44,47,46,41,34,26,22,20,19,16,9,2,0,0,2,0
19873,0,0,0,0,0,0,0,1,11,25,37,44,43,37,30,29,32,35,37,30,20,7,1,0,0,2,0
19874,0,0,0,0,0,0,0,0,0,0,0,0,28,38,47,65,75,61,28,0,0,0,0,0,0,2,0
19875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19876,0,0,0,0,0,0,0,0,0,0,11,16,11,10,23,33,36,49,46,20,0,0,0,0,0,2,0
19877,0,0,0,0,0,0,0,0,0,0,23,30,33,32,26,23,49,75,33,0,0,0,0,0,0,2,0
19878,0,0,0,0,0,0,0,8,26,38,42,35,26,20,19,20,22,23,22,20,15,9,1,0,0,2,0
19879,0,0,0,0,0,0,0,10,46,75,71,47,34,38,41,34,29,31,35,34,27,15,2,0,0,2,0
19880,0,0,0,0,0,0,0,0,5,37,23,17,29,28,23,39,62,50,19,0,0,0,0,0,0,2,0
19881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19882,0,0,0,0,0,0,0,13,41,65,71,53,27,8,4,8,16,24,29,29,24,16,7,1,0,2,0
19883,0,0,0,0,0,0,0,1,17,34,46,44,32,15,2,1,5,19,32,36,29,15,1,1,0,2,0
19884,32,0,0,0,0,0,0,43,48,53,53,53,53,53,48,48,43,43,38,38,38,32,32,32,0,2,0
19885,32,0,0,0,0,0,0,32,38,43,48,53,59,64,69,69,75,75,69,64,59,53,43,38,0,2,0
19886,0,0,0,0,0,0,0,25,50,71,71,55,39,34,32,34,32,29,26,21,16,11,8,0,0,2,0
19887,0,0,0,0,0,0,0,11,23,35,45,47,43,37,32,29,26,25,24,23,21,17,14,0,0,2,0
19888,0,0,0,0,0,0,0,0,18,47,75,72,47,32,41,61,74,67,45,0,0,0,0,0,0,2,0
19889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19890,0,0,0,0,0,0,0,9,30,44,48,52,64,72,63,43,27,21,20,18,12,5,1,0,0,2,0
19891,0,0,0,0,0,0,0,1,15,38,60,74,75,65,50,39,33,32,32,30,23,14,5,0,0,2,0
19892,0,0,0,0,0,0,0,0,22,32,39,41,42,46,52,55,53,41,25,11,0,0,0,0,0,2,0
19893,0,0,0,0,0,0,0,0,15,29,40,45,46,50,62,72,75,63,44,23,0,0,0,0,0,2,0
19894,32,38,49,59,63,62,39,32,24,17,3,1,5,14,23,30,38,47,57,65,65,56,42,33,0,2,0
19895,54,68,75,65,39,11,52,39,24,11,1,8,17,19,19,22,31,44,54,59,58,52,45,45,0,2,0
19896,0,0,0,0,0,0,0,0,0,0,8,15,23,30,35,35,30,23,0,0,0,0,0,0,0,2,0
19897,0,0,0,0,0,0,0,0,0,0,5,10,15,15,23,32,30,15,0,0,0,0,0,0,0,2,0
19898,0,0,0,0,0,0,0,12,31,53,56,41,28,25,31,34,34,31,22,15,0,0,0,0,0,2,0
19899,0,0,0,0,0,0,0,19,19,22,22,22,25,25,22,0,0,0,0,0,0,0,0,0,0,2,0
19900,0,0,0,0,0,0,0,2,3,14,26,37,43,44,41,36,32,31,29,28,23,17,10,0,0,2,0
19901,0,0,0,0,0,0,0,2,5,11,15,18,18,21,27,27,15,6,8,15,20,20,13,0,0,2,0
19902,11,0,0,0,0,0,0,1,1,7,35,65,75,58,35,23,26,32,34,29,26,29,31,24,0,2,0
19903,10,0,0,0,0,0,0,1,1,7,43,71,65,44,37,40,43,41,37,32,32,39,41,30,0,2,0
19904,0,0,0,0,0,0,0,10,23,36,41,36,28,22,20,20,21,21,20,16,13,8,4,0,0,2,0
19905,0,0,0,0,0,0,0,7,23,37,38,30,24,24,26,28,28,26,21,16,11,5,2,0,0,2,0
19906,26,21,14,7,2,0,4,13,24,35,42,45,44,42,40,37,32,26,21,19,20,23,27,29,0,2,0
19907,41,20,1,1,1,1,1,12,21,26,28,28,30,35,41,46,46,41,32,28,31,42,54,55,0,2,0
19908,0,0,0,0,0,0,0,0,0,17,27,35,42,47,55,68,75,63,38,0,0,0,0,0,0,2,0
19909,0,0,0,0,0,0,0,0,0,17,26,26,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19910,0,0,0,0,0,0,0,2,10,43,69,65,42,29,28,32,34,34,32,28,21,14,8,1,0,2,0
19911,0,0,0,0,0,0,0,2,8,23,38,47,50,46,38,32,29,28,26,23,18,11,5,2,0,2,0
19912,4,0,0,0,0,0,0,4,4,8,11,15,19,23,23,23,23,19,15,11,8,11,19,15,0,2,0
19913,8,0,0,0,0,0,0,4,4,4,4,8,11,15,15,19,19,15,15,11,8,8,11,15,0,2,0
19914,0,0,0,0,0,0,0,8,23,38,45,48,51,53,53,48,46,47,47,41,28,11,0,0,0,2,0
19915,0,0,0,0,0,0,0,18,48,73,75,67,68,68,49,29,27,38,47,47,35,18,0,0,0,2,0
19916,0,0,0,0,0,0,0,6,17,30,44,53,57,60,66,72,70,62,56,54,53,47,34,0,0,2,0
19917,0,0,0,0,0,0,0,5,14,28,43,55,63,70,75,72,60,50,52,62,65,53,34,0,0,2,0
19918,0,0,0,0,0,0,0,5,11,17,18,17,20,31,44,46,36,24,17,13,8,5,0,0,0,2,0
19919,0,0,0,0,0,0,0,5,9,14,17,22,29,38,41,35,26,20,14,5,1,0,0,0,0,2,0
19920,0,0,0,0,0,0,0,0,15,26,38,44,43,41,47,56,55,40,20,0,0,0,0,0,0,2,0
19921,0,0,0,0,0,0,0,0,29,38,38,33,38,56,73,75,59,35,0,0,0,0,0,0,0,2,0
19922,0,0,0,0,0,0,0,19,35,52,58,56,50,47,44,39,35,33,32,30,27,24,20,0,0,2,0
19923,0,0,0,0,0,0,0,20,34,49,63,73,75,68,58,45,38,36,39,41,36,26,0,0,0,2,0
19924,26,26,22,13,4,4,4,4,4,4,4,4,4,4,4,4,17,22,26,22,17,22,22,26,0,2,0
19925,22,8,4,4,4,4,4,4,4,4,4,4,4,4,4,31,57,75,75,62,44,35,31,31,0,2,0
19926,0,0,0,0,0,0,0,19,39,56,62,55,41,32,32,38,46,50,53,53,50,39,22,0,0,2,0
19927,0,0,0,0,0,0,0,14,29,46,59,65,61,48,33,27,38,61,75,69,59,45,23,0,0,2,0
19928,0,0,0,0,0,0,0,5,26,47,52,38,19,8,8,11,11,8,6,8,10,8,1,0,0,2,0
19929,0,0,0,0,0,0,0,3,29,59,75,67,50,38,27,14,4,0,5,11,10,2,1,0,0,2,0
19930,1,0,0,0,0,0,0,7,24,44,61,69,67,58,49,46,48,52,53,53,53,50,37,17,0,2,0
19931,1,0,0,0,0,0,0,1,9,29,48,59,64,67,67,62,51,40,36,46,65,73,56,25,0,2,0
