filename,filter_ds,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
results_inception_time_country - cópia.csv,_0_0,0.3249059,0.2838848,0.5245655,0.3249059,0.120937,0.1685132,0.2556256,0.120937,0.010869081118843438,0.1839827628905093,0.18516498791880232,0.010869081118843438,0.6606809443074453,0.7517523487843843,1.2342960295563485,0.6606809443074453
results_inception_time_country - cópia.csv,_0_1,0.1640051,0.0785291,0.4274386,0.1640051,0.0716057,0.0399491,0.1384696,0.0716057,0.0348040414459736,0.03238750575431887,0.04298526970017663,0.0348040414459736,0.36281433304117083,0.18944563916081628,0.8118918716961552,0.36281433304117083
results_inception_time_country - cópia.csv,_0_2,0.3391293,0.2151628,0.376068,0.3391293,0.0641021,0.0774098,0.120037,0.0641021,0.1611532937669048,0.00023883968801213795,0.04279182463283865,0.1611532937669048,0.5171052476451202,0.43008680256062065,0.7093440862159057,0.5171052476451202
results_inception_time_country - cópia.csv,_1_0,0.2249823,0.1666811,0.2927533,0.2249823,0.1534164,0.1207315,0.180967,0.1534164,0.2009699404242426,0.1685232868178204,0.2096917027686941,0.2009699404242426,0.6509345874192372,0.5018854647829972,0.7951982444089781,0.6509345874192372
results_inception_time_country - cópia.csv,_1_2,0.1494367,0.0847282,0.2103185,0.1494367,0.0923862,0.065756,0.1081166,0.0923862,0.1070685527415752,0.09783974845702498,0.0898612521368847,0.1070685527415752,0.4059420017539831,0.2672961441289988,0.5104981884850817,0.4059420017539831
results_inception_time_country - cópia.csv,_1_4,0.312931,0.1579365,0.2700337,0.312931,0.0749356,0.0587511,0.1608532,0.0749356,0.10487655219612282,0.0051827974169898205,0.1765664772511636,0.10487655219612282,0.5209855167693945,0.32105570161342967,0.716633932439677,0.5209855167693945
results_elastic_ensemble.csv,_0_0,0.7098127,0.7117888,0.7188476,0.7098127,0.0331152,0.0272936,0.0200187,0.0331152,0.6178703106133119,0.6360096398513857,0.6632667251889873,0.6178703106133119,0.8017551068812976,0.7875678650524178,0.7744284633766957,0.8017551068812976
results_elastic_ensemble.csv,_0_1,0.6412493,0.6418763,0.6484334,0.6412493,0.0171553,0.0178055,0.0212769,0.0171553,0.5936185657798129,0.5924403779267805,0.5893593849481815,0.5936185657798129,0.6888800048319653,0.6913121347054311,0.7075074153843679,0.6888800048319653
results_elastic_ensemble.csv,_0_2,0.6893301,0.6863395,0.6895412,0.6893301,0.0239921,0.0240189,0.0254037,0.0239921,0.6227173332175494,0.6196524832750729,0.6190092133171292,0.6227173332175494,0.7559428146201782,0.7530265544812438,0.7600731290818534,0.7559428146201782
results_elastic_ensemble.csv,_1_0,0.6193965,0.6198906,0.6294468,0.6193965,0.0159515,0.0154523,0.0183121,0.0159515,0.575107971254764,0.5769879942296781,0.5786042651905693,0.575107971254764,0.6636851261585162,0.6627931390505082,0.6802893278246659,0.6636851261585162
results_elastic_ensemble.csv,_1_2,0.6097396,0.6089354,0.6159419,0.6097396,0.0189389,0.0189766,0.0214698,0.0189389,0.557156727930157,0.5562479837375168,0.5563321169978013,0.557156727930157,0.6623224762362097,0.6616228831254377,0.6755516501054974,0.6623224762362097
results_elastic_ensemble.csv,_1_4,0.5784483,0.577398,0.5862738,0.5784483,0.0174343,0.0169906,0.0210212,0.0174343,0.5300429937079397,0.5302244989288161,0.5279096549490936,0.5300429937079397,0.6268535580161984,0.6245715440202895,0.6446378577211846,0.6268535580161984
results_tde.csv,_0_0,0.7119266,0.7134916,0.7264055,0.7119266,0.0269669,0.0322835,0.0374371,0.0269669,0.6370546002945039,0.6238583400591337,0.6224634827998949,0.6370546002945039,0.7867986107146705,0.8031248097808793,0.8303475276952565,0.7867986107146705
results_tde.csv,_0_1,0.7119266,0.7113906,0.7230868,0.7119266,0.040032,0.0435342,0.0402855,0.040032,0.6007800353956249,0.5905203944313743,0.6112363011761203,0.6007800353956249,0.8230731756135495,0.8322608646678215,0.8349373608268514,0.8230731756135495
results_tde.csv,_0_2,0.7247706,0.726047,0.7362908,0.7247706,0.0259489,0.0270227,0.0252359,0.0259489,0.6527250215971537,0.6510200323444385,0.6662245666784936,0.6527250215971537,0.796816262806516,0.8010738982894586,0.8063570202566241,0.796816262806516
results_tde.csv,_1_0,0.6954128,0.6964603,0.7127521,0.6954128,0.0325138,0.0324105,0.0390442,0.0325138,0.6051399401626529,0.60647432674687,0.6043480759640694,0.6051399401626529,0.7856857479107415,0.7864461786315293,0.8211560997225735,0.7856857479107415
results_tde.csv,_1_2,0.7119266,0.7132333,0.7304289,0.7119266,0.027584,0.0269557,0.0256926,0.027584,0.6353410602849151,0.6383923366966211,0.6590948300864701,0.6353410602849151,0.7885121507242591,0.7880743424732728,0.8017630141416623,0.7885121507242591
results_tde.csv,_1_4,0.7376147,0.7454999,0.7618923,0.7376147,0.0236405,0.0263463,0.0267264,0.0236405,0.6719779947803648,0.6723508119847146,0.6876878756379385,0.6719779947803648,0.8032513630178002,0.818649048490826,0.8360966453811587,0.8032513630178002
results_ts_fresh.csv,_0_0,0.7474147,0.7433489,0.7451367,0.7474147,0.0379923,0.0335881,0.028258,0.0379923,0.6419311885671665,0.6500935334103229,0.6666799474254089,0.6419311885671665,0.8528982199645209,0.836604303400568,0.8235935507340345,0.8528982199645209
results_ts_fresh.csv,_0_1,0.6903573,0.6895933,0.693222,0.6903573,0.0191737,0.0193355,0.0192278,0.0191737,0.6371227161747445,0.6359093772136009,0.6398369103422377,0.6371227161747445,0.743591977936176,0.7432772585242,0.7466070083732328,0.743591977936176
results_ts_fresh.csv,_0_2,0.704292,0.7009453,0.702915,0.704292,0.0233071,0.0237502,0.0246467,0.0233071,0.6395810543201798,0.635004095939619,0.6344847565805881,0.6395810543201798,0.7690028465004942,0.7668865713417472,0.7713452234935793,0.7690028465004942
