filename,Classifier,filter_ds,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
results_rdst_city.csv,rdst,_1_2,0.6704994,0.6667949,0.6717448,0.6704994,0.0204109,0.0201625,0.0221084,0.0204109,0.6138297533287397,0.6108146849316417,0.6103619640264502,0.6138297533287397,0.7271691186802843,0.7227750575640312,0.7331277292982352,0.7271691186802843
results_rdst_city.csv,rdst,_1_4,0.6823276,0.6727585,0.6820494,0.6823276,0.0163906,0.0174978,0.0187832,0.0163906,0.6368198478187039,0.6241767304326895,0.6298988202983166,0.6368198478187039,0.727835324595089,0.7213401998956408,0.7341999105868607,0.727835324595089
results_fresh_prince_city.csv,fresh_prince,_0_0,0.6757959,0.6724367,0.6732549,0.6757959,0.0366285,0.0351513,0.0349626,0.0366285,0.5740987686193337,0.5748408908858222,0.5761831417352629,0.5740987686193337,0.7774929956389001,0.770032420508149,0.7703267098630387,0.7774929956389001
results_fresh_prince_city.csv,fresh_prince,_0_1,0.5672356,0.5645201,0.5677455,0.5672356,0.0174332,0.0187379,0.0207995,0.0174332,0.5188333617285373,0.5124953411875898,0.5099968179894332,0.5188333617285373,0.6156377646293815,0.6165448593611925,0.6254941600904382,0.6156377646293815
results_fresh_prince_city.csv,fresh_prince,_0_2,0.5981584,0.5959103,0.5975244,0.5981584,0.021744,0.0219009,0.0212357,0.021744,0.5377873763625672,0.5351036633755433,0.5385646764267177,0.5377873763625672,0.6585294852869293,0.6567168999890307,0.6564840996385527,0.6585294852869293
results_fresh_prince_city.csv,fresh_prince,_1_0,0.4816598,0.4827798,0.4852818,0.4816598,0.0062881,0.0060553,0.0068228,0.0062881,0.4642013042703241,0.46596771573148105,0.46633870604938404,0.4642013042703241,0.4991183779026606,0.4995919654900543,0.504224918858176,0.4991183779026606
results_fresh_prince_city.csv,fresh_prince,_1_2,0.4686889,0.4689043,0.4704532,0.4686889,0.0139202,0.0139132,0.0136141,0.0139202,0.43004025810379853,0.43027496805832677,0.43265443209411975,0.43004025810379853,0.5073375228739536,0.507533615567834,0.5082520369966145,0.5073375228739536
results_fresh_prince_city.csv,fresh_prince,_1_4,0.4633621,0.4629532,0.4645628,0.4633621,0.027901,0.0288985,0.0299155,0.027901,0.385896606528133,0.3827181211512826,0.38150394313407787,0.385896606528133,0.5408275314029015,0.5431882264334102,0.5476216813070642,0.5408275314029015
results_elastic_ensemble_city.csv,elastic_ensemble,_0_0,0.7098127,0.7117888,0.7188476,0.7098127,0.0331152,0.0272936,0.0200187,0.0331152,0.6178703106133119,0.6360096398513857,0.6632667251889873,0.6178703106133119,0.8017551068812976,0.7875678650524178,0.7744284633766957,0.8017551068812976
results_elastic_ensemble_city.csv,elastic_ensemble,_0_1,0.6412493,0.6418763,0.6484334,0.6412493,0.0171553,0.0178055,0.0212769,0.0171553,0.5936185657798129,0.5924403779267805,0.5893593849481815,0.5936185657798129,0.6888800048319653,0.6913121347054311,0.7075074153843679,0.6888800048319653
results_elastic_ensemble_city.csv,elastic_ensemble,_0_2,0.6893301,0.6863395,0.6895412,0.6893301,0.0239921,0.0240189,0.0254037,0.0239921,0.6227173332175494,0.6196524832750729,0.6190092133171292,0.6227173332175494,0.7559428146201782,0.7530265544812438,0.7600731290818534,0.7559428146201782
results_elastic_ensemble_city.csv,elastic_ensemble,_1_0,0.6193965,0.6198906,0.6294468,0.6193965,0.0159515,0.0154523,0.0183121,0.0159515,0.575107971254764,0.5769879942296781,0.5786042651905693,0.575107971254764,0.6636851261585162,0.6627931390505082,0.6802893278246659,0.6636851261585162
results_elastic_ensemble_city.csv,elastic_ensemble,_1_2,0.6097396,0.6089354,0.6159419,0.6097396,0.0189389,0.0189766,0.0214698,0.0189389,0.557156727930157,0.5562479837375168,0.5563321169978013,0.557156727930157,0.6623224762362097,0.6616228831254377,0.6755516501054974,0.6623224762362097
